frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
54,5.0,[2235.081911070828 1419.8913949753467 2945.0829954737947 2119.7012875591563],[2488.59521484375 1912.3516845703125 2687.38916015625 1999.06787109375],0.6558671593666077,0,0
54,6.0,[1106.3678468798612 1182.0724925853242 1707.1824457242878 1663.2287349567732],[1323.42626953125 1476.739013671875 1489.650146484375 1556.4140625],0.2819206714630127,0,0
55,5.0,[2235.9119739882317 1430.8524168707886 2950.4974773169934 2129.529812863171],[2487.920654296875 1923.95263671875 2685.99609375 2009.1270751953125],0.6675745248794556,0,0
55,6.0,[1103.5162419593594 1184.681826133914 1705.574089350227 1668.0947155816566],[1305.873046875 1475.8157958984375 1492.515869140625 1566.157470703125],0.31069323420524597,0,0
55,4.0,[940.9659272517549 1650.141309238137 1561.8624528564544 2152.364853904258],[1235.4368896484375 2077.4326171875 1342.5986328125 2151.405029296875],0.2608548700809479,0,0
56,5.0,[2236.7504490979472 1437.8566995892918 2951.269110648839 2135.7869763813087],[2490.76416015625 1924.786376953125 2691.08447265625 2013.0380859375],0.6813578605651855,CI51WSU,0.020919889631546253
56,6.0,[1100.210150340364 1186.8037548844995 1704.9648912885375 1672.1158107694164],[1312.5867919921875 1480.450927734375 1492.1920166015625 1563.331787109375],0.30909252166748047,0,0
57,5.0,[2238.1565514134572 1444.7029560666724 2956.5962219596213 2141.4514449115118],[2492.39892578125 1936.2642822265625 2696.326904296875 2025.9588623046875],0.667733907699585,0,0
57,6.0,[1093.4062891537126 1190.259107610027 1703.9003874706234 1676.9078435280203],[1313.1636962890625 1492.3480224609375 1483.23828125 1567.2601318359375],0.3886111378669739,0,0
58,5.0,[2237.8765272540663 1449.8422267400233 2956.0043789647802 2146.036417279762],[2495.671142578125 1946.361083984375 2695.94677734375 2035.6539306640625],0.6563138961791992,0,0
58,6.0,[1089.7714546930483 1195.1037572008377 1703.4033263593974 1681.145107226554],[1303.0980224609375 1494.547119140625 1477.780517578125 1571.8634033203125],0.38733211159706116,0,0
59,5.0,[2237.3237449777694 1453.820920013749 2954.1009297979213 2148.517867590938],[2492.60888671875 1949.9501953125 2698.216552734375 2040.125244140625],0.6558388471603394,0,0
59,6.0,[1091.4208026238125 1199.0922340415627 1707.9506842428618 1684.7629981496098],[1318.248046875 1498.404052734375 1485.2607421875 1570.48974609375],0.2909777760505676,GX15OGJ,0.14071883723881326
60,5.0,[2241.611336282865 1458.0154758724314 2957.1738404237362 2149.449228660017],[2497.289306640625 1959.7628173828125 2710.309814453125 2050.332275390625],0.7074971795082092,MT51VSU,0.09652827291432749
60,6.0,[1088.3692470232284 1204.481974771949 1709.3918262073828 1690.8330846424383],[1297.361328125 1498.6197509765625 1469.0889892578125 1579.45458984375],0.41706398129463196,0,0
61,5.0,[2248.430497549729 1464.937279793844 2960.1830158899593 2150.4923428810853],[2506.503662109375 1969.2283935546875 2709.966796875 2062.3388671875],0.7123051285743713,0,0
61,6.0,[1085.143516638545 1210.8729243622327 1709.1607396051768 1697.6496370047532],[1297.5546875 1498.21728515625 1443.9984130859375 1579.54248046875],0.43760743737220764,0,0
62,5.0,[2248.014179137927 1470.1829157046727 2958.3568198968974 2150.5598789578044],[2501.067626953125 1971.497314453125 2711.759033203125 2065.9482421875],0.717587411403656,0,0
62,6.0,[1079.925416993749 1213.708380325204 1704.3960966494342 1701.6314981296405],[1295.335205078125 1502.5242919921875 1445.657958984375 1584.0955810546875],0.35632890462875366,0,0
63,5.0,[2245.8675469784566 1475.9850265991847 2958.4438154121453 2151.835680336201],[2504.6015625 1982.3389892578125 2718.28369140625 2082.31640625],0.7138249278068542,0,0
63,6.0,[1074.6946344611993 1218.1931132992213 1696.7080121851554 1706.904371617968],[1303.7098388671875 1511.173828125 1479.432861328125 1598.18701171875],0.32182881236076355,0,0
64,5.0,[2248.3305441399407 1485.3284524404878 2960.379776034485 2151.6862922130135],[2510.822509765625 1989.1636962890625 2723.33935546875 2090.44873046875],0.695267379283905,0,0
64,6.0,[1076.836398391209 1225.370378760712 1695.171673517113 1712.4582313932328],[1302.3218994140625 1518.406494140625 1475.3382568359375 1601.370849609375],0.3304840922355652,0,0
65,5.0,[2252.969528322957 1491.1633593023957 2962.9483438279162 2150.222959143539],[2504.9658203125 1995.9627685546875 2728.052734375 2094.121826171875],0.7003926634788513,0,0
65,6.0,[1077.5881902097672 1230.364053437687 1696.304080369368 1717.0544878208027],[1307.212646484375 1526.3565673828125 1475.3118896484375 1606.3443603515625],0.2883473336696625,GX15OGJ,0.46646852253627175
66,5.0,[2254.550783368541 1496.362104275146 2964.45421962514 2152.6270852460257],[2510.716552734375 2007.025390625 2724.924560546875 2104.954833984375],0.7244521975517273,0,0
67,5.0,[2256.957612216998 1500.194648491527 2967.465036460026 2152.5320211340845],[2515.6259765625 2018.50341796875 2722.922607421875 2113.79736328125],0.7084456086158752,0,0
68,5.0,[2260.3121096174077 1503.3649086060118 2970.899507216896 2151.582846982687],[2514.874755859375 2026.5396728515625 2725.96533203125 2124.509033203125],0.7078661322593689,0,0
68,6.0,[1071.1097594296032 1239.6919194948932 1694.1163773497176 1728.9709866365938],[1287.4896240234375 1541.398681640625 1464.8917236328125 1622.77734375],0.2599143981933594,0,0
69,5.0,[2257.7622441854087 1509.6071727807525 2975.7765611831205 2152.550594905578],[2517.29443359375 2037.2091064453125 2730.46728515625 2132.1220703125],0.6853976249694824,0,0
70,5.0,[2262.7418004511746 1518.8351925154961 2980.3663887068487 2153.8816826648763],[2520.684814453125 2045.742919921875 2738.455810546875 2141.113037109375],0.6822382211685181,0,0
70,6.0,[1069.167648107626 1250.861072861271 1695.0567762090582 1744.3349047526674],[1280.980224609375 1546.699951171875 1460.7117919921875 1634.0126953125],0.4284347593784332,0,0
71,5.0,[2266.0501427375734 1527.1577879345186 2983.69837108845 2154.560437606493],[2529.471923828125 2056.062744140625 2734.16845703125 2145.4892578125],0.6971405148506165,0,0
71,6.0,[1064.8521680508297 1256.588664031563 1691.4127723462666 1752.0010225486608],[1275.7159423828125 1553.423583984375 1472.5133056640625 1644.27392578125],0.3148469924926758,0,0
72,6.0,[1059.6346102441428 1260.203675655821 1690.4900121815883 1757.1863151902508],[1279.7994384765625 1551.320556640625 1462.4578857421875 1644.5047607421875],0.2618676424026489,0,0
73,6.0,[1053.9169370245718 1263.3545880773509 1686.884871882491 1762.6433611418192],[1281.516357421875 1575.9605712890625 1469.378173828125 1656.4566650390625],0.4199495315551758,0,0
74,6.0,[1050.4661742174767 1266.552404654446 1683.7915021782778 1767.2141046352704],[1282.30078125 1573.891845703125 1465.5877685546875 1657.3048095703125],0.48815301060676575,0,0
75,6.0,[1050.1286433808477 1272.8503751244884 1682.6127002561016 1774.1794499020066],[1274.2586669921875 1586.025634765625 1476.802734375 1667.548583984375],0.45036014914512634,0,0
76,6.0,[1049.2421068850222 1277.4355173083557 1682.254164813682 1779.5236230238845],[1273.185546875 1594.105224609375 1448.7454833984375 1669.4736328125],0.5087229013442993,0,0
77,6.0,[1046.2796275479554 1279.0588250096555 1685.6387087150642 1782.6676761881783],[1260.3277587890625 1595.6986083984375 1446.4696044921875 1680.760986328125],0.5334712266921997,0,0
78,6.0,[1043.3259624263515 1282.2461122218579 1687.0488812027825 1789.9151913559408],[1270.855224609375 1593.8323974609375 1455.7777099609375 1683.1864013671875],0.5961354970932007,0,0
79,6.0,[1038.2780781892675 1287.0771637810726 1682.807178920816 1798.4885586528594],[1262.509765625 1608.5654296875 1436.585205078125 1695.42041015625],0.461825430393219,0,0
79,1.0,[2059.8626839224644 1039.1677864506744 2525.084825474828 1451.506800111403],[2190.81591796875 1277.7972412109375 2314.214599609375 1357.775146484375],0.38160520792007446,0,0
80,6.0,[1035.5630349879045 1291.4252142937053 1684.9344751837327 1804.5625106763582],[1262.4012451171875 1607.1983642578125 1458.802734375 1695.5401611328125],0.5210776925086975,0,0
81,6.0,[1029.3994062313564 1297.034976580694 1682.8499679976835 1810.645376736628],[1261.7398681640625 1626.8250732421875 1430.3507080078125 1704.8565673828125],0.5551196932792664,GX15OGJ,0.33371513170421474
82,6.0,[1023.3393841337319 1304.3180283342058 1681.4488630319115 1819.5342520123495],[1238.13916015625 1617.3848876953125 1418.9825439453125 1704.4940185546875],0.43125632405281067,0,0
83,6.0,[1017.2266078047057 1308.0690224008831 1678.7972729453352 1825.256072071625],[1248.878173828125 1633.0460205078125 1443.1917724609375 1717.5858154296875],0.5122246742248535,0,0
84,6.0,[1014.2729771253714 1315.1634985897006 1681.5582407728978 1836.0328384329239],[1234.6395263671875 1637.2156982421875 1431.118408203125 1718.6661376953125],0.48078444600105286,0,0
85,6.0,[1009.4219354313395 1323.0194041373165 1682.211413041523 1846.4059883162645],[1228.509521484375 1641.9595947265625 1437.0076904296875 1729.278564453125],0.5614856481552124,0,0
86,6.0,[1005.4641780768638 1328.0433527880662 1681.3863540784778 1853.5818826681345],[1232.4412841796875 1643.2210693359375 1404.755615234375 1730.0723876953125],0.48789075016975403,0,0
87,6.0,[1002.126979016665 1330.3467040670714 1683.1764036196062 1857.780058951151],[1236.697998046875 1651.671142578125 1438.14990234375 1744.28515625],0.4883367717266083,0,0
88,6.0,[997.2188550721239 1333.763709979401 1683.4597884801337 1864.776586187218],[1244.54296875 1669.5418701171875 1435.1414794921875 1753.1544189453125],0.5215151309967041,0,0
89,6.0,[995.4759479310349 1335.0555343288231 1684.1471448784862 1869.961112551752],[1245.9283447265625 1672.8526611328125 1438.31884765625 1756.2293701171875],0.5586779713630676,0,0
90,6.0,[994.1481594091345 1339.8233310305266 1685.0884187037666 1874.6134903231643],[1237.0535888671875 1681.8453369140625 1433.716552734375 1765.9361572265625],0.5787184834480286,0,0
91,6.0,[994.4153709718439 1348.5561536076789 1686.6831817181 1885.6024040438301],[1229.110107421875 1685.361083984375 1427.8165283203125 1772.9664306640625],0.5686684250831604,GX15OGJ,0.21557248017797537
92,6.0,[993.0580468081278 1353.5354973368355 1686.343597975066 1893.1365715923314],[1231.16357421875 1692.3240966796875 1435.793701171875 1782.9276123046875],0.5943871140480042,0,0
93,6.0,[985.5025540762061 1361.2698212698128 1685.6881354762859 1901.1565352110397],[1224.4593505859375 1692.90966796875 1398.9228515625 1781.025146484375],0.4856199026107788,GX15OGJ,0.28583149176352285
94,6.0,[979.0731979911754 1366.1686248025756 1685.307085218339 1907.39514088204],[1227.2774658203125 1701.4124755859375 1435.8680419921875 1794.305908203125],0.5092752575874329,GX15OGJ,0.40671155743843823
95,6.0,[976.5982146567544 1367.5754312685385 1686.8701482318247 1910.3287920237644],[1226.1119384765625 1710.541748046875 1412.11279296875 1793.1065673828125],0.4211518466472626,0,0
